Year,Country / territory of asylum/residence,Origin,Population type,Value
2001,South Africa,Various/Unknown,Asylum-seekers,1756
2001,South Africa,Zambia,Refugees (incl. refugee-like situations),6
2001,South Africa,Zambia,Asylum-seekers,59
2001,South Africa,Zimbabwe,Asylum-seekers,7
2002,South Africa,Afghanistan,Refugees (incl. refugee-like situations),15
2002,South Africa,Afghanistan,Asylum-seekers,7
2002,South Africa,Algeria,Refugees (incl. refugee-like situations),1
2002,South Africa,Algeria,Asylum-seekers,44
2002,South Africa,Angola,Refugees (incl. refugee-like situations),5291
2002,South Africa,Angola,Asylum-seekers,5548
2002,South Africa,Angola,Returned refugees,3
2002,South Africa,Bangladesh,Refugees (incl. refugee-like situations),1
2002,South Africa,Bangladesh,Asylum-seekers,1442
2002,South Africa,Benin,Asylum-seekers,44
2002,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),24
2002,South Africa,Bosnia and Herzegovina,Asylum-seekers,12
2002,South Africa,Bulgaria,Asylum-seekers,162
2002,South Africa,Burundi,Refugees (incl. refugee-like situations),1715
2002,South Africa,Burundi,Asylum-seekers,1445
2002,South Africa,Burundi,Returned refugees,15
2002,South Africa,Cameroon,Refugees (incl. refugee-like situations),27
2002,South Africa,Cameroon,Asylum-seekers,463
2002,South Africa,Chad,Refugees (incl. refugee-like situations),1
2002,South Africa,Chad,Asylum-seekers,4
2002,South Africa,China,Asylum-seekers,1264
2002,South Africa,"China, Macao SAR",Refugees (incl. refugee-like situations),1
2002,South Africa,"China, Macao SAR",Asylum-seekers,1
2002,South Africa,Comoros,Refugees (incl. refugee-like situations),1
2002,South Africa,Comoros,Asylum-seekers,26
2002,South Africa,Congo,Refugees (incl. refugee-like situations),927
2002,South Africa,Congo,Asylum-seekers,938
2002,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),4
2002,South Africa,Cote d'Ivoire,Asylum-seekers,110
2002,South Africa,Croatia,Refugees (incl. refugee-like situations),8
2002,South Africa,Croatia,Asylum-seekers,2
2002,South Africa,Cuba,Refugees (incl. refugee-like situations),1
2002,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),7243
2002,South Africa,Dem. Rep. of the Congo,Asylum-seekers,9642
2002,South Africa,Dem. Rep. of the Congo,Returned refugees,10
2002,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2002,South Africa,Egypt,Asylum-seekers,271
2002,South Africa,Eritrea,Asylum-seekers,158
2002,South Africa,Ethiopia,Refugees (incl. refugee-like situations),13
2002,South Africa,Ethiopia,Asylum-seekers,1374
2002,South Africa,Ghana,Refugees (incl. refugee-like situations),5
2002,South Africa,Ghana,Asylum-seekers,403
2002,South Africa,India,Refugees (incl. refugee-like situations),1
2002,South Africa,India,Asylum-seekers,2286
2002,South Africa,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4
2002,South Africa,Iran (Islamic Rep. of),Asylum-seekers,15
2002,South Africa,Iraq,Refugees (incl. refugee-like situations),11
2002,South Africa,Iraq,Asylum-seekers,41
2002,South Africa,Italy,Refugees (incl. refugee-like situations),1
2002,South Africa,Kenya,Refugees (incl. refugee-like situations),11
2002,South Africa,Kenya,Asylum-seekers,9187
2002,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),11
2002,South Africa,Kyrgyzstan,Asylum-seekers,2
2002,South Africa,Liberia,Refugees (incl. refugee-like situations),194
2002,South Africa,Liberia,Asylum-seekers,82
2002,South Africa,Malawi,Asylum-seekers,137
2002,South Africa,Mali,Refugees (incl. refugee-like situations),1
2002,South Africa,Mali,Asylum-seekers,17
2002,South Africa,Mozambique,Refugees (incl. refugee-like situations),1
2002,South Africa,Mozambique,Asylum-seekers,35
2002,South Africa,Nigeria,Refugees (incl. refugee-like situations),22
2002,South Africa,Nigeria,Asylum-seekers,3464
2002,South Africa,Pakistan,Refugees (incl. refugee-like situations),27
2002,South Africa,Pakistan,Asylum-seekers,3268
2002,South Africa,Rwanda,Refugees (incl. refugee-like situations),982
2002,South Africa,Rwanda,Asylum-seekers,457
2002,South Africa,Rwanda,Returned refugees,9
2002,South Africa,Senegal,Refugees (incl. refugee-like situations),4
2002,South Africa,Senegal,Asylum-seekers,429
2002,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),29
2002,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,57
2002,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),52
2002,South Africa,Sierra Leone,Asylum-seekers,65
2002,South Africa,Slovenia,Refugees (incl. refugee-like situations),1
2002,South Africa,Somalia,Refugees (incl. refugee-like situations),6515
2002,South Africa,Somalia,Asylum-seekers,3032
2002,South Africa,Somalia,Returned refugees,7
2002,South Africa,Sri Lanka,Refugees (incl. refugee-like situations),3
2002,South Africa,Sri Lanka,Asylum-seekers,12
2002,South Africa,Sudan,Refugees (incl. refugee-like situations),152
2002,South Africa,Sudan,Asylum-seekers,75
2002,South Africa,Uganda,Refugees (incl. refugee-like situations),26
2002,South Africa,Uganda,Asylum-seekers,841
2002,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),4
2002,South Africa,United Rep. of Tanzania,Asylum-seekers,1969
2002,South Africa,Various/Unknown,Asylum-seekers,3405
2002,South Africa,Zambia,Refugees (incl. refugee-like situations),11
2002,South Africa,Zambia,Asylum-seekers,101
2002,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),2
2002,South Africa,Zimbabwe,Asylum-seekers,114
2003,South Africa,Afghanistan,Refugees (incl. refugee-like situations),15
2003,South Africa,Afghanistan,Asylum-seekers,22
2003,South Africa,Algeria,Refugees (incl. refugee-like situations),1
2003,South Africa,Algeria,Asylum-seekers,81
2003,South Africa,Angola,Refugees (incl. refugee-like situations),5773
2003,South Africa,Angola,Asylum-seekers,5925
2003,South Africa,Angola,Returned refugees,9
2003,South Africa,Bangladesh,Asylum-seekers,3279
2003,South Africa,Benin,Asylum-seekers,67
2003,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2003,South Africa,Bulgaria,Asylum-seekers,188
2003,South Africa,Burundi,Refugees (incl. refugee-like situations),1986
2003,South Africa,Burundi,Asylum-seekers,2034
2003,South Africa,Burundi,Returned refugees,13
2003,South Africa,Cameroon,Refugees (incl. refugee-like situations),34
2003,South Africa,Cameroon,Asylum-seekers,803
2003,South Africa,Chad,Asylum-seekers,7
2003,South Africa,China,Asylum-seekers,2142
2003,South Africa,"China, Macao SAR",Refugees (incl. refugee-like situations),1
2003,South Africa,Comoros,Asylum-seekers,35
2003,South Africa,Congo,Refugees (incl. refugee-like situations),1053
2003,South Africa,Congo,Asylum-seekers,1585
2003,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),5
2003,South Africa,Cote d'Ivoire,Asylum-seekers,175
2003,South Africa,Croatia,Asylum-seekers,1
2003,South Africa,Cuba,Refugees (incl. refugee-like situations),1
2003,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),8890
2003,South Africa,Dem. Rep. of the Congo,Asylum-seekers,14073
2003,South Africa,Dem. Rep. of the Congo,Returned refugees,16
2003,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2003,South Africa,Egypt,Asylum-seekers,461
2003,South Africa,Eritrea,Asylum-seekers,290
2003,South Africa,Ethiopia,Refugees (incl. refugee-like situations),21
2003,South Africa,Ethiopia,Asylum-seekers,2882
2003,South Africa,Ghana,Refugees (incl. refugee-like situations),5
2003,South Africa,Ghana,Asylum-seekers,876
2003,South Africa,India,Refugees (incl. refugee-like situations),2
2003,South Africa,India,Asylum-seekers,4345
2003,South Africa,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4
2003,South Africa,Iran (Islamic Rep. of),Asylum-seekers,26
2003,South Africa,Iraq,Refugees (incl. refugee-like situations),11
2003,South Africa,Iraq,Asylum-seekers,42
2003,South Africa,Kenya,Refugees (incl. refugee-like situations),12
2003,South Africa,Kenya,Asylum-seekers,9623
2003,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2003,South Africa,Liberia,Refugees (incl. refugee-like situations),213
2003,South Africa,Liberia,Asylum-seekers,118
2003,South Africa,Malawi,Asylum-seekers,1407
2003,South Africa,Mali,Refugees (incl. refugee-like situations),1
2003,South Africa,Mali,Asylum-seekers,26
2003,South Africa,Mozambique,Refugees (incl. refugee-like situations),1
2003,South Africa,Mozambique,Asylum-seekers,153
2003,South Africa,Nigeria,Refugees (incl. refugee-like situations),22
2003,South Africa,Nigeria,Asylum-seekers,7982
2003,South Africa,Pakistan,Refugees (incl. refugee-like situations),28
2003,South Africa,Pakistan,Asylum-seekers,7906
2003,South Africa,Rwanda,Refugees (incl. refugee-like situations),1193
2003,South Africa,Rwanda,Asylum-seekers,502
2003,South Africa,Rwanda,Returned refugees,4
2003,South Africa,Senegal,Refugees (incl. refugee-like situations),4
2003,South Africa,Senegal,Asylum-seekers,476
2003,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2003,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,58
2003,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),52
2003,South Africa,Sierra Leone,Asylum-seekers,101
2003,South Africa,Slovenia,Refugees (incl. refugee-like situations),2
2003,South Africa,Somalia,Refugees (incl. refugee-like situations),6890
2003,South Africa,Somalia,Asylum-seekers,4705
2003,South Africa,Somalia,Returned refugees,14
2003,South Africa,Sri Lanka,Refugees (incl. refugee-like situations),3
2003,South Africa,Sri Lanka,Asylum-seekers,22
2003,South Africa,Sudan,Refugees (incl. refugee-like situations),177
2003,South Africa,Sudan,Asylum-seekers,91
2003,South Africa,Uganda,Refugees (incl. refugee-like situations),30
2003,South Africa,Uganda,Asylum-seekers,1527
2003,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),5
2003,South Africa,United Rep. of Tanzania,Asylum-seekers,3174
2003,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),24
2003,South Africa,Various/Unknown,Asylum-seekers,4033
2003,South Africa,Zambia,Refugees (incl. refugee-like situations),8
2003,South Africa,Zambia,Asylum-seekers,170
2003,South Africa,Zambia,Returned refugees,5
2003,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),11
2003,South Africa,Zimbabwe,Asylum-seekers,2677
2004,South Africa,Afghanistan,Refugees (incl. refugee-like situations),15
2004,South Africa,Afghanistan,Asylum-seekers,22
2004,South Africa,Algeria,Refugees (incl. refugee-like situations),1
2004,South Africa,Algeria,Asylum-seekers,81
2004,South Africa,Angola,Refugees (incl. refugee-like situations),5774
2004,South Africa,Angola,Asylum-seekers,6274
2004,South Africa,Angola,Returned refugees,33
2004,South Africa,Bangladesh,Refugees (incl. refugee-like situations),1
2004,South Africa,Bangladesh,Asylum-seekers,4697
2004,South Africa,Benin,Asylum-seekers,81
2004,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2004,South Africa,Bulgaria,Asylum-seekers,188
2004,South Africa,Burundi,Refugees (incl. refugee-like situations),2075
2004,South Africa,Burundi,Asylum-seekers,2937
2004,South Africa,Burundi,Returned refugees,22
2004,South Africa,Cameroon,Refugees (incl. refugee-like situations),43
2004,South Africa,Cameroon,Asylum-seekers,1187
2004,South Africa,Chad,Asylum-seekers,9
2004,South Africa,China,Asylum-seekers,3791
2004,South Africa,"China, Macao SAR",Refugees (incl. refugee-like situations),1
2004,South Africa,Comoros,Asylum-seekers,512
2004,South Africa,Congo,Refugees (incl. refugee-like situations),1111
2004,South Africa,Congo,Asylum-seekers,2044
2004,South Africa,Congo,Returned refugees,1
2004,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),5
2004,South Africa,Cote d'Ivoire,Asylum-seekers,238
2004,South Africa,Cuba,Refugees (incl. refugee-like situations),1
2004,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),9516
2004,South Africa,Dem. Rep. of the Congo,Asylum-seekers,17993
2004,South Africa,Dem. Rep. of the Congo,Returned refugees,9
2004,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2004,South Africa,Egypt,Asylum-seekers,948
2004,South Africa,Eritrea,Refugees (incl. refugee-like situations),1
2004,South Africa,Eritrea,Asylum-seekers,569
2004,South Africa,Ethiopia,Refugees (incl. refugee-like situations),23
2004,South Africa,Ethiopia,Asylum-seekers,5675
2004,South Africa,Ghana,Refugees (incl. refugee-like situations),5
2004,South Africa,Ghana,Asylum-seekers,1180
2004,South Africa,India,Refugees (incl. refugee-like situations),2
2004,South Africa,India,Asylum-seekers,5925
2004,South Africa,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4
2004,South Africa,Iran (Islamic Rep. of),Asylum-seekers,33
2004,South Africa,Iraq,Refugees (incl. refugee-like situations),11
2004,South Africa,Iraq,Asylum-seekers,45
2004,South Africa,Kenya,Refugees (incl. refugee-like situations),12
2004,South Africa,Kenya,Asylum-seekers,10057
2004,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2004,South Africa,Liberia,Refugees (incl. refugee-like situations),214
2004,South Africa,Liberia,Asylum-seekers,214
2004,South Africa,Malawi,Asylum-seekers,2917
2004,South Africa,Mali,Refugees (incl. refugee-like situations),1
2004,South Africa,Mali,Asylum-seekers,31
2004,South Africa,Mozambique,Refugees (incl. refugee-like situations),1
2004,South Africa,Mozambique,Asylum-seekers,300
2004,South Africa,Nigeria,Refugees (incl. refugee-like situations),23
2004,South Africa,Nigeria,Asylum-seekers,8988
2004,South Africa,Pakistan,Refugees (incl. refugee-like situations),28
2004,South Africa,Pakistan,Asylum-seekers,9080
2004,South Africa,Rwanda,Refugees (incl. refugee-like situations),1266
2004,South Africa,Rwanda,Asylum-seekers,614
2004,South Africa,Rwanda,Returned refugees,4
2004,South Africa,Senegal,Refugees (incl. refugee-like situations),4
2004,South Africa,Senegal,Asylum-seekers,626
2004,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2004,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,64
2004,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),53
